curve_idx,target,amp_score,cq,cycle_no,rn,drn,Fn,pcr_plate,sample_type,igi_call
23677,MS2,2.3880844417409617,25.285821128516332,1,229219.609375,-1374.626327614384,229219.61,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,2,229516.9375,-1170.968545751643,229516.94,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,3,230569.78125,-211.79513888890185,230569.78,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,4,231039.625,164.3782679738684,231039.62,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,5,230943.109375,-25.807700163390507,230943.11,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,6,230716.078125,-346.5092933006494,230716.08,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,7,230738.71875,-417.5390114379083,230738.72,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,8,231506.53125,256.6031454248328,231506.53,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,9,231881.640625,538.0421772875738,231881.64,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,10,231403.328125,-33.94066584968499,231403.33,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,11,231121.09375,-409.8453839869148,231121.1,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,12,231270.34375,-354.2657271241737,231270.34,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,13,232347.421875,629.1420547385674,232347.42,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,14,232583.5625,771.6123366013085,232583.56,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,15,232420.75,515.1294934640496,232420.75,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,16,232218.859375,219.5685253267908,232218.86,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,17,231576.515625,-516.4455678104682,231576.52,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,18,231489.6875,-696.9440359477271,231489.69,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,19,232237.09375,-43.20812908495685,232237.1,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,20,232335.796875,-38.17534722221575,232335.8,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,21,232360.578125,-107.06444035947464,232360.58,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,22,233107.515625,546.2027165032664,233107.52,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,23,233559.84375,904.8604983660076,233559.84,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,24,234792.328125,2043.6745302287488,234792.33,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,25,236167.21875,3324.8948120914897,236167.22,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,26,239115.5,6179.50571895426,239115.5,AC00DB1I,Clinical Sample,Positive
23677,MS2,2.3880844417409617,25.285821128516332,27,244746.546875,11716.882250817,244746.55,AC00DB1I,Clinical Sample,Positive
