Well,Well Position,Cycle Number,ATTO 647,VIC,FAM
3,A3,37,15690.221,611131.44,898788.9
3,A3,38,15743.765,615162.7,910132.1
3,A3,39,15757.448,617748.4,919739.4
3,A3,40,16010.009,620227.2,928640.7
3,A3,41,16096.732,622890.94,934352.1
3,A3,42,16274.823,624671.75,938450
3,A3,43,16481.354,626539.44,942540.5
3,A3,44,16527.213,627897.9,946948.5
3,A3,45,16634.295,629357.1,951226.8
4,A4,1,18262.836,342331.84,122365.375
4,A4,2,18206.518,342620.38,122681.66
4,A4,3,18206.648,342040.6,122677.65
4,A4,4,18319.96,341951.72,122559.53
4,A4,5,18349.309,342313.06,122474.305
4,A4,6,18484.969,342220.72,122459.26
4,A4,7,18606.627,342104.4,122722.59
4,A4,8,18653.006,342034.56,122999.7
4,A4,9,18594.52,341951.6,123161.21
4,A4,10,18559.062,341950.62,123170.81
4,A4,11,18622.787,342083.7,123178.664
4,A4,12,18489.355,342200.9,123471.81
4,A4,13,18445.586,342658.6,123720.914
4,A4,14,18628.223,342706.78,123663.01
4,A4,15,18872.46,342690.1,123697.73
4,A4,16,18868.537,342614.25,123944.76
4,A4,17,18838.031,342542.6,124037.96
4,A4,18,18873.883,342426.72,124148.55
4,A4,19,18801.062,342425.97,124202.836
4,A4,20,18816.912,342756.6,124131.45
4,A4,21,19191.457,342887,124248.71
4,A4,22,19367.186,342937.12,124414.3
4,A4,23,19708.816,343414.16,124979.24
4,A4,24,20227.84,343629.97,125179.016
4,A4,25,21353.61,343563.8,125875.34
4,A4,26,23459.94,343645.12,127389.87
4,A4,27,27165.342,344107.47,129306.13
4,A4,28,34485.96,344205.47,133711.08
4,A4,29,46032.492,344464.3,142103.86
4,A4,30,63770.477,344676.75,157554.69
4,A4,31,87209.19,345837.16,180515.53
4,A4,32,111114.68,346739.2,208088.7
4,A4,33,130836.7,347756.3,238759.66
4,A4,34,146607.06,348553.2,270004.38
4,A4,35,160131.55,349396.62,298054.28
4,A4,36,172328.11,350334,324988.78
4,A4,37,183606.62,351093.5,350303.78
4,A4,38,193474.61,351271.2,374904.03
4,A4,39,202789.31,351913.12,397299.34
4,A4,40,211786.9,352630.22,418597.2
4,A4,41,219611.44,353073.22,439687.66
4,A4,42,227266.95,353921.9,460152.12
4,A4,43,234346.34,354397.25,479570.62
4,A4,44,240591.42,354993.66,498762.53
4,A4,45,245599.03,355622.47,513475.5
5,A5,1,17150.957,339643.7,119351.73
5,A5,2,17168.883,339553.06,119560.2
5,A5,3,17160.951,339073.1,119862.445
5,A5,4,17164.166,338992.06,119868.81
5,A5,5,17212.465,339123.88,119955.06
5,A5,6,17220.83,339150.47,120018.41
5,A5,7,17282.457,339211.38,120127.99
5,A5,8,17301.666,339156.2,120354.49
5,A5,9,17355.682,339151.1,120508.95
5,A5,10,17327.398,339308.53,120605.945
5,A5,11,17316.7,339371.28,120381.305
5,A5,12,17407.363,339608.97,120295.28
5,A5,13,17433.613,339561.22,120574.77
5,A5,14,17580.598,339520.72,120859.84
5,A5,15,17557.55,339669.06,121111.31
5,A5,16,17553.42,339734.38,121347.05
5,A5,17,17752.443,340075.38,121532.78
5,A5,18,17858.404,340181.38,121668.234
5,A5,19,17966.57,340438.25,121909.016
5,A5,20,18002.65,340879.28,122568.1
5,A5,21,18025.121,341120.78,123840.336
5,A5,22,17982.57,341843.4,125495.15
5,A5,23,17897.213,343669.97,129511.484
5,A5,24,17829.25,347168.47,136689.94
5,A5,25,17904.38,353369.97,150221.16
5,A5,26,18059.564,365687.78,175823.95
5,A5,27,18209.17,389054.25,220003.17
5,A5,28,18276.252,424972.75,287449.9
5,A5,29,18437.008,470428.94,371567.28
5,A5,30,18790.496,513654.28,459591.8
5,A5,31,19184.012,545029.25,547333.6
5,A5,32,19277.223,567807.06,628656.44
5,A5,33,19207.27,586080.44,697290.56
5,A5,34,19349.588,599626.8,755156.5
5,A5,35,19457.56,610294.3,803118.94
5,A5,36,19595.117,619448.6,841327.1
5,A5,37,19805.88,628107.75,870567.25
5,A5,38,19728.844,634491,892759.06
5,A5,39,19761.656,639309.4,914400.44
5,A5,40,19992.172,642876,929585.9
5,A5,41,20031.088,647479.6,942686.94
5,A5,42,20021.65,649831.06,954798.1
5,A5,43,20156.01,651875.4,962557.1
5,A5,44,20105.072,654593.06,968472.44
5,A5,45,20267.615,656690.4,975391.7
6,A6,1,19136.166,353971.44,123782.55
6,A6,2,19269.55,353674.1,124083.56
6,A6,3,19319.395,353455.6,124224.234
6,A6,4,19295.69,353333.1,124323.625
6,A6,5,19378.354,353254.53,124292.52
6,A6,6,19383.54,353163.5,124051.586
6,A6,7,19397.408,353128.34,124028.28
6,A6,8,19388.46,353112.88,124387.24
6,A6,9,19348.102,353205.44,124412.42
6,A6,10,19391.812,353557.12,124326.12
6,A6,11,19466.965,353464.75,124285.01
6,A6,12,19592.383,353397.62,124545.67
6,A6,13,19571.75,353517.53,124872.836
6,A6,14,19587.197,353713.28,124828.41
6,A6,15,19530.65,353727.97,124713.93
6,A6,16,19561.248,353857.2,124711.05
6,A6,17,19796.799,353949.47,125094.98
6,A6,18,19797.824,353931.75,125080.01
6,A6,19,19797.941,354008.38,125116.19
6,A6,20,19948.584,354271.72,125518.93
