D Init,Timestep,D Cur
1.1805165285688055e-06,37,90411.94527388913906291072568
1.1805165285688055e-06,38,134793.8943088803654464240709
1.1805165285688055e-06,39,187958.4977469769307825263802
1.1805165285688055e-06,40,247406.6921535461087964138701
1.1805165285688055e-06,41,310430.6381341820833814740503
1.1805165285688055e-06,42,374535.4691515754241168996356
1.1805165285688055e-06,43,437631.8371895280274578867440
1.1805165285688055e-06,44,498090.6048575856793635414214
1.1805165285688055e-06,45,554727.1650955665136466767408
1.1805165285688055e-06,46,606753.6674885072791830984852
1.1805165285688055e-06,47,653719.0764887617114076996059
1.1805165285688055e-06,48,695447.1910067990462807714431
1.1805165285688055e-06,49,731977.7311444219120168010685
1.1805165285688055e-06,50,763512.9908545566299404224615
1.2136237983442419e-06,0,0.000001213623798344241863213861971904083958406772580929100513458251953125
1.2136237983442419e-06,1,0.000002427247596669663576737280448
1.2136237983442419e-06,2,0.000004854495193264046554713370614
1.2136237983442419e-06,3,0.000009708990386226970228937130399
1.2136237983442419e-06,4,0.00001941798077124944971267240551
1.2136237983442419e-06,5,0.00003883596153768093644483624646
1.2136237983442419e-06,6,0.00007767192305609002058166947213
1.2136237983442419e-06,7,0.0001553438460350926327271729152
1.2136237983442419e-06,8,0.0003106876917618356320180401453
1.2136237983442419e-06,9,0.0006213753822902727358646019136
1.2136237983442419e-06,10,0.001242750759646951401769118932
1.2136237983442419e-06,11,0.002485501499559526871842553815
1.2136237983442419e-06,12,0.004971002920181552796342925468
1.2136237983442419e-06,13,0.009942005524613124038840967818
1.2136237983442419e-06,14,0.01988400978622649974936696096
1.2136237983442419e-06,15,0.03976801452045542928323215479
1.2136237983442419e-06,16,0.07953600883293196247775602600
1.2136237983442419e-06,17,0.1590719368340394186468089849
1.2136237983442419e-06,18,0.3181435503415094341817762794
1.2136237983442419e-06,19,0.6362858073825701968579173169
1.2136237983442419e-06,20,1.272566441609976658723686067
1.2136237983442419e-06,21,2.545112190972336761917896311
1.2136237983442419e-06,22,5.090141615938366804887318710
1.2136237983442419e-06,23,10.17995219172242187403046990
1.2136237983442419e-06,24,20.35858041375715247044552422
1.2136237983442419e-06,25,40.71186647559601644734133678
1.2136237983442419e-06,26,81.40256774852409802302185428
1.2136237983442419e-06,27,162.7205721722291127668153923
1.2136237983442419e-06,28,325.1036684740422135939697282
1.2136237983442419e-06,29,648.8636138576899125632272437
1.2136237983442419e-06,30,1292.401162913389320015962475
1.2136237983442419e-06,31,2563.879119003275572897033563
1.2136237983442419e-06,32,5046.969194492162277512539224
1.2136237983442419e-06,33,9791.938424563472904991401882
1.2136237983442419e-06,34,18518.08581303331517423128684
1.2136237983442419e-06,35,33609.96001095487298660725970
1.2136237983442419e-06,36,57572.52971830846394236740621
1.2136237983442419e-06,37,91990.13228284853793922693616
1.2136237983442419e-06,38,136761.8283328025195229398525
1.2136237983442419e-06,39,190228.3403607992105488844325
1.2136237983442419e-06,40,249870.6817070529768096670758
1.2136237983442419e-06,41,312983.2423902302785546697866
1.2136237983442419e-06,42,377084.8492326914503994144291
1.2136237983442419e-06,43,440104.1121991960037063486208
1.2136237983442419e-06,44,500430.2384216161813463830322
1.2136237983442419e-06,45,556895.4960297879309498916471
1.2136237983442419e-06,46,608726.6603340631349653098572
1.2136237983442419e-06,47,655484.8414469358246475169653
1.2136237983442419e-06,48,697003.5514492999236943066779
1.2136237983442419e-06,49,733329.9775146206469626400803
1.2136237983442419e-06,50,764671.8861342695993504942176
1.2476595526308684e-06,0,0.000001247659552630868398098305978305422314633688074536621570587158203125
1.2476595526308684e-06,1,0.000002495319105241846233310704863
1.2476595526308684e-06,2,0.000004990638210404130215078415556
1.2476595526308684e-06,3,0.000009981276420490010924926107011
1.2476595526308684e-06,4,0.00001996255283970702452765925615
1.2476595526308684e-06,5,0.00003992510567432205976687139322
1.2476595526308684e-06,6,0.00007985021132827616198330095270
1.2476595526308684e-06,7,0.0001597004225750804937856161658
